sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
CL-BETAALAN300G	X002KQQZHZ	B088ZQLFPB	Cellusyn Labs Beta Alanine Powder 300 Grams - 3 Grams Per Serving, Non-GMO	New	15.00	No		Yes	8	8	0	0	8	0.03	0	0	0	0	0	0
CL-ELDERBRRY-CAPS	X002K7WZ0P	B089V978MD	Cellusyn Labs Elderberry Capsules 575 MG, 120 Capsules - Non-GMO	New	11.50	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
CL-ELDRBRY90GUM	B0885BNKBX	B0885BNKBX	Cellusyn Elderberry Gummies (90 Gummies) - Non GMO, Gluten Free	New	13.99	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
CL-ELDRBRYGUM	X002IRZ987	B0885BNKBX	Cellusyn Elderberry Gummies (90 Gummies) - Non GMO, Gluten Free	New	13.99	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
CL-HUPERZ-A-180C	X002MZFG7J	B089QCZDVL	Cellusyn Labs Huperzine-A 180 Capsules - 200 MCG of Huperzine-A Extract Per Serving	New	16.97	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
CL-PQQ60CAP	X002MZLDDZ	B088YJTFGY	Cellusyn Labs PQQ (Pyrroloquinoline Quinone) 20mg, 60 Capsules	New	20.99	No		Yes	25	25	0	0	25	0.01	0	0	0	0	0	0
CLL-VITCROSE120	X002I8ZJF9	B086M9K45Y	Cellusyn Labs Vitamin C + Rose Hips Capsules 120 Servings (1000mg of Vitamin C, 25mg of Rose Hip)	New	16.97	No		Yes	42	42	0	0	42	0.01	0	0	0	0	0	0
CMONO-1KG-A1	B01EVVQX9U	B01EVVQX9U	Nutricost Creatine Monohydrate Micronized Powder (1 KG) - Pure Creatine Monohydrate	New	24.95	No		Yes	269	0	6	259	282	0.15	0	0	13	4	0	0
DB-E5CW-1UY8	X000Z6CXGJ	B01CO7I06W	Nutricost L-Ornithine 500mg, 180 Capsules - Non-GMO and Gluten Free	New	14.99	No		Yes	1	0	0	1	1	0.02	0	0	0	0	0	0
GLUCMN-500G-1	B01EGTY358	B01EGTY358	Nutricost Glucomannan Powder 500 Grams	New	23.95	No		Yes	740	350	6	384	742	0.04	0	0	2	0	0	0
LCIT-600GBASE	B01M2DB8V3	B01M2DB8V3	Nutricost Pure L-Citrulline (Base) Powder (600 Grams)	New	27.95	No		Yes	177	15	3	157	179	0.06	0	0	2	2	0	0
LGLUT-1KG-A	B01EVOOBIW	B01EVOOBIW	Nutricost L-Glutamine Powder 1 KG - Pure L Glutamine, 5000mg per Serving, Non-GMO, Gluten Free	New	26.97	No		Yes	2650	1317	24	1280	3111	0.11	0	0	461	29	0	0
MYO-MOCH2LB	B073WLPMJY	B073WLPMJY	XPI Myotein Protein Powder (Mocha Latte, 2lbs) - Best Whey Protein Powder Complex - Great Tasting - Hydrolysate, Isolate, Concentrate, Colostrum, & Micellar Casein	New	29.95	No		Yes	0	0	0	0	0	0.62	0	0	0	0	0	0
MYO-MOCH5LB	B073WLSYRH	B073WLSYRH	XPI Myotein Protein Powder (Mocha Latte, 5lbs) - Best Whey Protein Powder Complex - Great Tasting - Hydrolysate, Isolate, Concentrate, Colostrum, & Micellar Casein	New	54.95	No		Yes	0	0	0	0	0	0.77	0	0	0	0	0	0
