sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	standard-price-point	ProductTaxCode
04-O4VC-1VDM	B00XD03VF0	28.95	120														
07-LP4X-LQQ1	B01A1CWDCE	24.95	150														
0E-OAKH-P1F4	B01CUWIUSE	22.95	150														
0N-UNUF-LC4N	B018GPDD3Q	54.95	40														
0P-EUJY-BT4K	B01ASC6XS2	15.95	250														
0P-JERH-B8N9	B00MWE8WAW	41.95	150														
0Z-QKW5-Y976	B00SHXE7VK	19.99	250														
13-L9BQ-I0W2	B010RBSLFW	28.95	150														
13-VC0W-HUJ7	B00MY9BZHC	17.95	221														
1L-ZW9C-8224	B00ZYPT3YK	12.99	101	12.99	fixed	10	11.30	16	10.00								
1O-91AB-RWRH	B01B1X2PZM	24.95	60														
26-2J0W-HXQD	B01AAVGK3Y	40.95	27														
2D-ZCBW-L4P3	B019EJ3RS4	18.99	250														
2H-1166-4U3C	B01CV1FFSC	47.95	150														
2H-1LKR-4RI8	B01A9DX40U	54.95	150														
2H-WPRG-4U1T	B01CTFZFF8	38.95	150														
2MACA-PWD500	B06XCZXWBS	38.95	58														
2R-DFLA-RLSM	B01ASC6XU0	41.95	150														
2V-TRK1-B9U3	B01CUYHCR2	46.95	150														
2Y-5KPM-UU7S	B01BCL4HU4	16.95	99														
32-6FXW-EEVP	B01A1938YE	10.00	250														
3D-BXM2-19YZ	B01BCULYJM	31.99	150														
3K-CRRU-46IV	B00WISWRIU	52.95	109														
3N-GLZG-O2O5	B01A68H242	87.95	25														
3R-2R5B-72RJ	B00LI4M8D4	114.95	16														
45-LVOP-E8D0	B01E9MTWFI	42.95	150														
48-GUN5-XIV6	B010RIW67O	28.99	250	28.95	percent	24	5.00	30	11.00	42	14.00						
4G-QPOV-00TB	B00BUVOGXA	29.95	250														
4J-06M3-KK6A	B01A9DX40K	19.99	250														
4U-WSY2-7BIX	B017MW6LRE	22.99	250														
54-GDC2-UAC6	B01CTFTIT2	38.95	150														
5B-R039-XJRB	B01EGTY3F8	69.95	103														
5J-ZDSM-0NV0	B01AMSMDW2	23.95	150														
5X-B8SL-781J	B01F7N73F4	34.95	250														
5X-JGWQ-731N	B01A1DL4EQ	29.95	150														
60-4NU0-QFKN	B00XD03VGE	11.99	250														
67-G0N4-TIA8	B00N1A2JM8	18.99	250														
6I-A1HQ-GRS6	B01B6WXBT2	26.95	62	26.95	percent	12	5.00	24	11.00								
6W-PG1T-MW67	B00WAJU3VK	47.95	150														
7Z-P5ZU-MLO4	B00WISWRLW	19.96	250														
83-M7SE-6MLT	B01F5QSHUS	10.00	250														
8H-UU1I-CMBH	B00VAOKFO6	11.95	250														
8K-8MJ2-WKG8	B01B6WXB10	18.95	93														
8Z-CXBC-2PO5	B00XD03VCS	21.95	150														
99-271W-PSVV	B01A193998	26.95	98														
99-GCV1-OFCN	B008H65PO0	29.95	250														A_HLTH_COSMETIC
9D-ADUY-94PE	B00WFDWABM	12.95	250														
9U-7JB3-ZJBY	B01CUWIURU	32.95	150														
9Y-QT29-J3SP	B01BCR9852	14.99	44														
9Y-SMWG-HXRM	B015RY43QA	35.95	6														A_HLTH_COSMETIC
A5-ODE6-M4DB	B013CUE57S	30.95	250														
ADN037101	B010CAYIZK	19.95	250														A_HLTH_SUNSCRN
AF-8MYV-QLZ0	B07T6Y51SR	15.99	250	15.99	percent	7	10.50	12	11.50	18	13.85						
AQ-W3LW-VUD1	B016398GQG	12.99	250														
AX-F2N2-YST4	B00T5A1SD4	14.99	84														
B1-SK22-IPJ3	B017MW6LQK	24.95	250														
BC-0S38-5LJX	B01A19391Q	18.95	147														
BX-FYI7-FBYN	B01CTFZFE4	14.98	250														
BX-K9WV-FC05	B01CV1FFTG	34.95	150														
BX-T8L7-F5BT	B015TK6KVI	17.99	250														
C0-1YGZ-YW3R	B01B1X2PWU	35.95	40														
C4-F80Q-IH1T	B01A1DL4DC	44.95	150														
CA-KETO250-1	B01NAX0RGU	39.95	101														
CB-1BGW-LRQN	B01CUP9W60	12.99	60														
CB-D0AR-LRQX	B01CUYHCQ8	31.99	150														
CB-JS99-LY74	B096N4WNS7	9.95	250														
CF-Z8W1-4TU4	B00OYYSID4	41.99	82														
CF120CPS-01M	B01FWQ8CLA	10.00	250														
